path,emotion
processed_audio\indo_neutral_04-01-02-02.wav,neutral
processed_audio\indo_neutral_04-01-02-03.wav,neutral
processed_audio\indo_happy_04-02-01-01.wav,happy
processed_audio\indo_happy_04-02-01-02.wav,happy
processed_audio\indo_happy_04-02-01-03.wav,happy
processed_audio\indo_happy_04-02-02-01.wav,happy
processed_audio\indo_happy_04-02-02-02.wav,happy
processed_audio\indo_happy_04-02-02-03.wav,happy
processed_audio\indo_surprised_04-03-01-01.wav,surprised
processed_audio\indo_surprised_04-03-01-02.wav,surprised
processed_audio\indo_surprised_04-03-01-03.wav,surprised
processed_audio\indo_surprised_04-03-02-01.wav,surprised
processed_audio\indo_surprised_04-03-02-02.wav,surprised
processed_audio\indo_surprised_04-03-02-03.wav,surprised
processed_audio\indo_disgust_04-04-01-01.wav,disgust
processed_audio\indo_disgust_04-04-01-02.wav,disgust
processed_audio\indo_disgust_04-04-01-03.wav,disgust
processed_audio\indo_disgust_04-04-02-01.wav,disgust
processed_audio\indo_disgust_04-04-02-02.wav,disgust
processed_audio\indo_disgust_04-04-02-03.wav,disgust
processed_audio\indo_sad_04-05-01-01.wav,sad
processed_audio\indo_sad_04-05-01-02.wav,sad
processed_audio\indo_sad_04-05-01-03.wav,sad
processed_audio\indo_sad_04-05-02-01.wav,sad
processed_audio\indo_sad_04-05-02-02.wav,sad
processed_audio\indo_sad_04-05-02-03.wav,sad
processed_audio\indo_neutral_05-01-01-01.wav,neutral
processed_audio\indo_neutral_05-01-01-02.wav,neutral
processed_audio\indo_neutral_05-01-01-03.wav,neutral
processed_audio\indo_neutral_05-01-02-01.wav,neutral
processed_audio\indo_neutral_05-01-02-02.wav,neutral
processed_audio\indo_neutral_05-01-02-03.wav,neutral
processed_audio\indo_happy_05-02-01-01.wav,happy
processed_audio\indo_happy_05-02-01-02.wav,happy
processed_audio\indo_happy_05-02-01-03.wav,happy
processed_audio\indo_happy_05-02-02-01.wav,happy
processed_audio\indo_happy_05-02-02-02.wav,happy
processed_audio\indo_happy_05-02-02-03.wav,happy
processed_audio\indo_surprised_05-03-01-01.wav,surprised
processed_audio\indo_surprised_05-03-01-02.wav,surprised
processed_audio\indo_surprised_05-03-01-03.wav,surprised
processed_audio\indo_surprised_05-03-02-01.wav,surprised
processed_audio\indo_surprised_05-03-02-02.wav,surprised
processed_audio\indo_surprised_05-03-02-03.wav,surprised
processed_audio\indo_disgust_05-04-01-01.wav,disgust
processed_audio\indo_disgust_05-04-01-02.wav,disgust
processed_audio\indo_disgust_05-04-01-03.wav,disgust
processed_audio\indo_disgust_05-04-02-01.wav,disgust
processed_audio\indo_disgust_05-04-02-02.wav,disgust
processed_audio\indo_disgust_05-04-02-03.wav,disgust
processed_audio\indo_sad_05-05-01-01.wav,sad
processed_audio\indo_sad_05-05-01-02.wav,sad
processed_audio\indo_sad_05-05-01-03.wav,sad
processed_audio\indo_sad_05-05-02-01.wav,sad
processed_audio\indo_sad_05-05-02-02.wav,sad
processed_audio\indo_sad_05-05-02-03.wav,sad
processed_audio\indo_neutral_06-01-01-01.wav,neutral
processed_audio\indo_neutral_06-01-01-02.wav,neutral
processed_audio\indo_neutral_06-01-01-03.wav,neutral
processed_audio\indo_neutral_06-01-02-01.wav,neutral
processed_audio\indo_neutral_06-01-02-02.wav,neutral
processed_audio\indo_neutral_06-01-02-03.wav,neutral
processed_audio\indo_happy_06-02-01-01.wav,happy
processed_audio\indo_happy_06-02-01-02.wav,happy
processed_audio\indo_happy_06-02-01-03.wav,happy
processed_audio\indo_happy_06-02-02-01.wav,happy
processed_audio\indo_happy_06-02-02-02.wav,happy
processed_audio\indo_happy_06-02-02-03.wav,happy
processed_audio\indo_surprised_06-03-01-01.wav,surprised
processed_audio\indo_surprised_06-03-01-02.wav,surprised
processed_audio\indo_surprised_06-03-01-03.wav,surprised
processed_audio\indo_surprised_06-03-02-01.wav,surprised
processed_audio\indo_surprised_06-03-02-02.wav,surprised
processed_audio\indo_surprised_06-03-02-03.wav,surprised
processed_audio\indo_disgust_06-04-01-01.wav,disgust
processed_audio\indo_disgust_06-04-01-02.wav,disgust
processed_audio\indo_disgust_06-04-01-03.wav,disgust
processed_audio\indo_disgust_06-04-02-01.wav,disgust
processed_audio\indo_disgust_06-04-02-02.wav,disgust
processed_audio\indo_disgust_06-04-02-03.wav,disgust
processed_audio\indo_sad_06-05-01-01.wav,sad
processed_audio\indo_sad_06-05-01-02.wav,sad
processed_audio\indo_sad_06-05-01-03.wav,sad
processed_audio\indo_sad_06-05-02-01.wav,sad
processed_audio\indo_sad_06-05-02-02.wav,sad
processed_audio\indo_sad_06-05-02-03.wav,sad
processed_audio\indo_neutral_07-01-01-01.wav,neutral
processed_audio\indo_neutral_07-01-01-02.wav,neutral
processed_audio\indo_neutral_07-01-01-03.wav,neutral
processed_audio\indo_neutral_07-01-02-01.wav,neutral
processed_audio\indo_neutral_07-01-02-02.wav,neutral
processed_audio\indo_neutral_07-01-02-03.wav,neutral
processed_audio\indo_happy_07-02-01-01.wav,happy
processed_audio\indo_happy_07-02-01-02.wav,happy
processed_audio\indo_happy_07-02-01-03.wav,happy
processed_audio\indo_happy_07-02-02-01.wav,happy
processed_audio\indo_happy_07-02-02-02.wav,happy
processed_audio\indo_happy_07-02-02-03.wav,happy
processed_audio\indo_surprised_07-03-01-01.wav,surprised
processed_audio\indo_surprised_07-03-01-02.wav,surprised
processed_audio\indo_surprised_07-03-01-03.wav,surprised
processed_audio\indo_surprised_07-03-02-01.wav,surprised
processed_audio\indo_surprised_07-03-02-02.wav,surprised
processed_audio\indo_surprised_07-03-02-03.wav,surprised
processed_audio\indo_disgust_07-04-01-01.wav,disgust
processed_audio\indo_disgust_07-04-01-02.wav,disgust
processed_audio\indo_disgust_07-04-01-03.wav,disgust
processed_audio\indo_disgust_07-04-02-01.wav,disgust
processed_audio\indo_disgust_07-04-02-02.wav,disgust
processed_audio\indo_disgust_07-04-02-03.wav,disgust
processed_audio\indo_sad_07-05-01-01.wav,sad
processed_audio\indo_sad_07-05-01-02.wav,sad
processed_audio\indo_sad_07-05-01-03.wav,sad
processed_audio\indo_sad_07-05-02-01.wav,sad
processed_audio\indo_sad_07-05-02-02.wav,sad
processed_audio\indo_sad_07-05-02-03.wav,sad
processed_audio\indo_neutral_08-01-01-01.wav,neutral
processed_audio\indo_neutral_08-01-01-02.wav,neutral
processed_audio\indo_neutral_08-01-01-03.wav,neutral
processed_audio\indo_neutral_08-01-02-01.wav,neutral
processed_audio\indo_neutral_08-01-02-02.wav,neutral
processed_audio\indo_neutral_08-01-02-03.wav,neutral
processed_audio\indo_happy_08-02-01-01.wav,happy
processed_audio\indo_happy_08-02-01-02.wav,happy
processed_audio\indo_happy_08-02-01-03.wav,happy
processed_audio\indo_happy_08-02-02-01.wav,happy
processed_audio\indo_happy_08-02-02-02.wav,happy
processed_audio\indo_happy_08-02-02-03.wav,happy
processed_audio\indo_surprised_08-03-01-01.wav,surprised
processed_audio\indo_surprised_08-03-01-02.wav,surprised
processed_audio\indo_surprised_08-03-01-03.wav,surprised
processed_audio\indo_surprised_08-03-02-01.wav,surprised
processed_audio\indo_surprised_08-03-02-02.wav,surprised
processed_audio\indo_surprised_08-03-02-03.wav,surprised
processed_audio\indo_disgust_08-04-01-01.wav,disgust
processed_audio\indo_disgust_08-04-01-02.wav,disgust
processed_audio\indo_disgust_08-04-01-03.wav,disgust
processed_audio\indo_disgust_08-04-02-01.wav,disgust
processed_audio\indo_disgust_08-04-02-02.wav,disgust
processed_audio\indo_disgust_08-04-02-03.wav,disgust
processed_audio\indo_sad_08-05-01-01.wav,sad
processed_audio\indo_sad_08-05-01-02.wav,sad
processed_audio\indo_sad_08-05-01-03.wav,sad
processed_audio\indo_sad_08-05-02-01.wav,sad
processed_audio\indo_sad_08-05-02-02.wav,sad
processed_audio\indo_sad_08-05-02-03.wav,sad
processed_audio\indo_neutral_09-01-01-01.wav,neutral
processed_audio\indo_neutral_09-01-01-02.wav,neutral
processed_audio\indo_neutral_09-01-01-03.wav,neutral
processed_audio\indo_neutral_09-01-02-01.wav,neutral
processed_audio\indo_neutral_09-01-02-02.wav,neutral
processed_audio\indo_neutral_09-01-02-03.wav,neutral
processed_audio\indo_happy_09-02-01-01.wav,happy
processed_audio\indo_happy_09-02-01-02.wav,happy
processed_audio\indo_happy_09-02-01-03.wav,happy
processed_audio\indo_happy_09-02-02-01.wav,happy
processed_audio\indo_happy_09-02-02-02.wav,happy
processed_audio\indo_happy_09-02-02-03.wav,happy
processed_audio\indo_surprised_09-03-01-01.wav,surprised
processed_audio\indo_surprised_09-03-01-02.wav,surprised
processed_audio\indo_surprised_09-03-01-03.wav,surprised
processed_audio\indo_surprised_09-03-02-01.wav,surprised
processed_audio\indo_surprised_09-03-02-02.wav,surprised
processed_audio\indo_surprised_09-03-02-03.wav,surprised
processed_audio\indo_disgust_09-04-01-01.wav,disgust
processed_audio\indo_disgust_09-04-01-02.wav,disgust
processed_audio\indo_disgust_09-04-01-03.wav,disgust
processed_audio\indo_disgust_09-04-02-01.wav,disgust
processed_audio\indo_disgust_09-04-02-02.wav,disgust
processed_audio\indo_disgust_09-04-02-03.wav,disgust
processed_audio\indo_sad_09-05-01-01.wav,sad
processed_audio\indo_sad_09-05-01-02.wav,sad
processed_audio\indo_sad_09-05-01-03.wav,sad
processed_audio\indo_sad_09-05-02-01.wav,sad
processed_audio\indo_sad_09-05-02-02.wav,sad
processed_audio\indo_sad_09-05-02-03.wav,sad
processed_audio\indo_neutral_10-01-01-01.wav,neutral
processed_audio\indo_neutral_10-01-01-02.wav,neutral
processed_audio\indo_neutral_10-01-01-03.wav,neutral
processed_audio\indo_neutral_10-01-02-01.wav,neutral
processed_audio\indo_neutral_10-01-02-02.wav,neutral
processed_audio\indo_neutral_10-01-02-03.wav,neutral
processed_audio\indo_happy_10-02-01-01.wav,happy
processed_audio\indo_happy_10-02-01-02.wav,happy
processed_audio\indo_happy_10-02-01-03.wav,happy
processed_audio\indo_happy_10-02-02-01.wav,happy
processed_audio\indo_happy_10-02-02-02.wav,happy
processed_audio\indo_happy_10-02-02-03.wav,happy
processed_audio\indo_surprised_10-03-01-01.wav,surprised
processed_audio\indo_surprised_10-03-01-02.wav,surprised
processed_audio\indo_surprised_10-03-01-03.wav,surprised
processed_audio\indo_surprised_10-03-02-01.wav,surprised
processed_audio\indo_surprised_10-03-02-02.wav,surprised
processed_audio\indo_surprised_10-03-02-03.wav,surprised
processed_audio\indo_disgust_10-04-01-01.wav,disgust
processed_audio\indo_disgust_10-04-01-02.wav,disgust
processed_audio\indo_disgust_10-04-01-03.wav,disgust
processed_audio\indo_disgust_10-04-02-01.wav,disgust
processed_audio\indo_disgust_10-04-02-02.wav,disgust
processed_audio\indo_disgust_10-04-02-03.wav,disgust
processed_audio\indo_sad_10-05-01-01.wav,sad
processed_audio\indo_sad_10-05-01-02.wav,sad
processed_audio\indo_sad_10-05-01-03.wav,sad
processed_audio\indo_sad_10-05-02-01.wav,sad
processed_audio\indo_sad_10-05-02-02.wav,sad
processed_audio\indo_sad_10-05-02-03.wav,sad
processed_audio\tess_angry_OAF_back_angry.wav,angry
processed_audio\tess_angry_OAF_bar_angry.wav,angry
processed_audio\tess_angry_OAF_base_angry.wav,angry
processed_audio\tess_angry_OAF_bath_angry.wav,angry
processed_audio\tess_angry_OAF_bean_angry.wav,angry
processed_audio\tess_angry_OAF_beg_angry.wav,angry
processed_audio\tess_angry_OAF_bite_angry.wav,angry
processed_audio\tess_angry_OAF_boat_angry.wav,angry
processed_audio\tess_angry_OAF_bone_angry.wav,angry
processed_audio\tess_angry_OAF_book_angry.wav,angry
processed_audio\tess_angry_OAF_bought_angry.wav,angry
processed_audio\tess_angry_OAF_burn_angry.wav,angry
processed_audio\tess_angry_OAF_cab_angry.wav,angry
processed_audio\tess_angry_OAF_calm_angry.wav,angry
processed_audio\tess_angry_OAF_came_angry.wav,angry
processed_audio\tess_angry_OAF_cause_angry.wav,angry
processed_audio\tess_angry_OAF_chain_angry.wav,angry
processed_audio\tess_angry_OAF_chair_angry.wav,angry
processed_audio\tess_angry_OAF_chalk_angry.wav,angry
processed_audio\tess_angry_OAF_chat_angry.wav,angry
processed_audio\tess_angry_OAF_check_angry.wav,angry
processed_audio\tess_angry_OAF_cheek_angry.wav,angry
processed_audio\tess_angry_OAF_chief_angry.wav,angry
processed_audio\tess_angry_OAF_choice_angry.wav,angry
processed_audio\tess_angry_OAF_cool_angry.wav,angry
processed_audio\tess_angry_OAF_dab_angry.wav,angry
processed_audio\tess_angry_OAF_date_angry.wav,angry
processed_audio\tess_angry_OAF_dead_angry.wav,angry
processed_audio\tess_angry_OAF_death_angry.wav,angry
processed_audio\tess_angry_OAF_deep_angry.wav,angry
processed_audio\tess_angry_OAF_dime_angry.wav,angry
processed_audio\tess_angry_OAF_dip_angry.wav,angry
processed_audio\tess_angry_OAF_ditch_angry.wav,angry
processed_audio\tess_angry_OAF_dodge_angry.wav,angry
processed_audio\tess_angry_OAF_dog_angry.wav,angry
processed_audio\tess_angry_OAF_doll_angry.wav,angry
processed_audio\tess_angry_OAF_door_angry.wav,angry
processed_audio\tess_angry_OAF_fail_angry.wav,angry
processed_audio\tess_angry_OAF_fall_angry.wav,angry
processed_audio\tess_angry_OAF_far_angry.wav,angry
processed_audio\tess_angry_OAF_fat_angry.wav,angry
processed_audio\tess_angry_OAF_fit_angry.wav,angry
processed_audio\tess_angry_OAF_five_angry.wav,angry
processed_audio\tess_angry_OAF_food_angry.wav,angry
processed_audio\tess_angry_OAF_gap_angry.wav,angry
processed_audio\tess_angry_OAF_gas_angry.wav,angry
processed_audio\tess_angry_OAF_gaze_angry.wav,angry
processed_audio\tess_angry_OAF_germ_angry.wav,angry
processed_audio\tess_angry_OAF_get_angry.wav,angry
processed_audio\tess_angry_OAF_gin_angry.wav,angry
processed_audio\tess_angry_OAF_goal_angry.wav,angry
processed_audio\tess_angry_OAF_good_angry.wav,angry
processed_audio\tess_angry_OAF_goose_angry.wav,angry
processed_audio\tess_angry_OAF_gun_angry.wav,angry
processed_audio\tess_angry_OAF_half_angry.wav,angry
processed_audio\tess_angry_OAF_hall_angry.wav,angry
processed_audio\tess_angry_OAF_hash_angry.wav,angry
processed_audio\tess_angry_OAF_hate_angry.wav,angry
processed_audio\tess_angry_OAF_have_angry.wav,angry
processed_audio\tess_angry_OAF_haze_angry.wav,angry
processed_audio\tess_angry_OAF_hire_angry.wav,angry
processed_audio\tess_angry_OAF_hit_angry.wav,angry
processed_audio\tess_angry_OAF_hole_angry.wav,angry
processed_audio\tess_angry_OAF_home_angry.wav,angry
processed_audio\tess_angry_OAF_hurl_angry.wav,angry
processed_audio\tess_angry_OAF_hush_angry.wav,angry
processed_audio\tess_angry_OAF_jail_angry.wav,angry
processed_audio\tess_angry_OAF_jar_angry.wav,angry
processed_audio\tess_angry_OAF_join_angry.wav,angry
processed_audio\tess_angry_OAF_judge_angry.wav,angry
processed_audio\tess_angry_OAF_jug_angry.wav,angry
processed_audio\tess_angry_OAF_juice_angry.wav,angry
processed_audio\tess_angry_OAF_keen_angry.wav,angry
processed_audio\tess_angry_OAF_keep_angry.wav,angry
processed_audio\tess_angry_OAF_keg_angry.wav,angry
processed_audio\tess_angry_OAF_kick_angry.wav,angry
processed_audio\tess_angry_OAF_kill_angry.wav,angry
processed_audio\tess_angry_OAF_king_angry.wav,angry
processed_audio\tess_angry_OAF_kite_angry.wav,angry
processed_audio\tess_angry_OAF_knock_angry.wav,angry
processed_audio\tess_angry_OAF_late_angry.wav,angry
processed_audio\tess_angry_OAF_laud_angry.wav,angry
processed_audio\tess_angry_OAF_lean_angry.wav,angry
processed_audio\tess_angry_OAF_learn_angry.wav,angry
processed_audio\tess_angry_OAF_lease_angry.wav,angry
processed_audio\tess_angry_OAF_lid_angry.wav,angry
processed_audio\tess_angry_OAF_life_angry.wav,angry
processed_audio\tess_angry_OAF_limb_angry.wav,angry
processed_audio\tess_angry_OAF_live_angry.wav,angry
processed_audio\tess_angry_OAF_loaf_angry.wav,angry
processed_audio\tess_angry_OAF_long_angry.wav,angry
processed_audio\tess_angry_OAF_lore_angry.wav,angry
processed_audio\tess_angry_OAF_lose_angry.wav,angry
processed_audio\tess_angry_OAF_lot_angry.wav,angry
processed_audio\tess_angry_OAF_love_angry.wav,angry
processed_audio\tess_angry_OAF_luck_angry.wav,angry
processed_audio\tess_angry_OAF_make_angry.wav,angry
processed_audio\tess_angry_OAF_match_angry.wav,angry
processed_audio\tess_angry_OAF_merge_angry.wav,angry
processed_audio\tess_angry_OAF_mess_angry.wav,angry
processed_audio\tess_angry_OAF_met_angry.wav,angry
processed_audio\tess_angry_OAF_mill_angry.wav,angry
processed_audio\tess_angry_OAF_mob_angry.wav,angry
processed_audio\tess_angry_OAF_mode_angry.wav,angry
processed_audio\tess_angry_OAF_mood_angry.wav,angry
processed_audio\tess_angry_OAF_moon_angry.wav,angry
processed_audio\tess_angry_OAF_mop_angry.wav,angry
processed_audio\tess_angry_OAF_mouse_angry.wav,angry
processed_audio\tess_angry_OAF_nag_angry.wav,angry
processed_audio\tess_angry_OAF_name_angry.wav,angry
processed_audio\tess_angry_OAF_near_angry.wav,angry
processed_audio\tess_angry_OAF_neat_angry.wav,angry
processed_audio\tess_angry_OAF_nice_angry.wav,angry
processed_audio\tess_angry_OAF_note_angry.wav,angry
processed_audio\tess_angry_OAF_numb_angry.wav,angry
processed_audio\tess_angry_OAF_pad_angry.wav,angry
processed_audio\tess_angry_OAF_page_angry.wav,angry
processed_audio\tess_angry_OAF_pain_angry.wav,angry
processed_audio\tess_angry_OAF_pass_angry.wav,angry
processed_audio\tess_angry_OAF_pearl_angry.wav,angry
processed_audio\tess_angry_OAF_peg_angry.wav,angry
processed_audio\tess_angry_OAF_perch_angry.wav,angry
processed_audio\tess_angry_OAF_phone_angry.wav,angry
processed_audio\tess_angry_OAF_pick_angry.wav,angry
processed_audio\tess_angry_OAF_pike_angry.wav,angry
processed_audio\tess_angry_OAF_pole_angry.wav,angry
processed_audio\tess_angry_OAF_pool_angry.wav,angry
processed_audio\tess_angry_OAF_puff_angry.wav,angry
processed_audio\tess_angry_OAF_rag_angry.wav,angry
processed_audio\tess_angry_OAF_raid_angry.wav,angry
processed_audio\tess_angry_OAF_rain_angry.wav,angry
processed_audio\tess_angry_OAF_raise_angry.wav,angry
processed_audio\tess_angry_OAF_rat_angry.wav,angry
processed_audio\tess_angry_OAF_reach_angry.wav,angry
processed_audio\tess_angry_OAF_read_angry.wav,angry
processed_audio\tess_angry_OAF_red_angry.wav,angry
processed_audio\tess_angry_OAF_ring_angry.wav,angry
processed_audio\tess_angry_OAF_ripe_angry.wav,angry
processed_audio\tess_angry_OAF_road_angry.wav,angry
processed_audio\tess_angry_OAF_room_angry.wav,angry
processed_audio\tess_angry_OAF_rose_angry.wav,angry
processed_audio\tess_angry_OAF_rot_angry.wav,angry
processed_audio\tess_angry_OAF_rough_angry.wav,angry
processed_audio\tess_angry_OAF_rush_angry.wav,angry
processed_audio\tess_angry_OAF_said_angry.wav,angry
processed_audio\tess_angry_OAF_sail_angry.wav,angry
processed_audio\tess_angry_OAF_search_angry.wav,angry
processed_audio\tess_angry_OAF_seize_angry.wav,angry
processed_audio\tess_angry_OAF_sell_angry.wav,angry
processed_audio\tess_angry_OAF_shack_angry.wav,angry
processed_audio\tess_angry_OAF_shall_angry.wav,angry
processed_audio\tess_angry_OAF_shawl_angry.wav,angry
processed_audio\tess_angry_OAF_sheep_angry.wav,angry
processed_audio\tess_angry_OAF_shirt_angry.wav,angry
processed_audio\tess_angry_OAF_should_angry.wav,angry
processed_audio\tess_angry_OAF_shout_angry.wav,angry
processed_audio\tess_angry_OAF_size_angry.wav,angry
processed_audio\tess_angry_OAF_soap_angry.wav,angry
processed_audio\tess_angry_OAF_soup_angry.wav,angry
processed_audio\tess_angry_OAF_sour_angry.wav,angry
processed_audio\tess_angry_OAF_south_angry.wav,angry
processed_audio\tess_angry_OAF_sub_angry.wav,angry
processed_audio\tess_angry_OAF_such_angry.wav,angry
processed_audio\tess_angry_OAF_sure_angry.wav,angry
processed_audio\tess_angry_OAF_take_angry.wav,angry
processed_audio\tess_angry_OAF_talk_angry.wav,angry
processed_audio\tess_angry_OAF_tape_angry.wav,angry
processed_audio\tess_angry_OAF_team_angry.wav,angry
processed_audio\tess_angry_OAF_tell_angry.wav,angry
processed_audio\tess_angry_OAF_thin_angry.wav,angry
processed_audio\tess_angry_OAF_third_angry.wav,angry
processed_audio\tess_angry_OAF_thought_angry.wav,angry
processed_audio\tess_angry_OAF_thumb_angry.wav,angry
processed_audio\tess_angry_OAF_time_angry.wav,angry
processed_audio\tess_angry_OAF_tip_angry.wav,angry
processed_audio\tess_angry_OAF_tire_angry.wav,angry
processed_audio\tess_angry_OAF_ton_angry.wav,angry
processed_audio\tess_angry_OAF_tool_angry.wav,angry
processed_audio\tess_angry_OAF_tough_angry.wav,angry
processed_audio\tess_angry_OAF_turn_angry.wav,angry
processed_audio\tess_angry_OAF_vine_angry.wav,angry
processed_audio\tess_angry_OAF_voice_angry.wav,angry
processed_audio\tess_angry_OAF_void_angry.wav,angry
processed_audio\tess_angry_OAF_vote_angry.wav,angry
processed_audio\tess_angry_OAF_wag_angry.wav,angry
processed_audio\tess_angry_OAF_walk_angry.wav,angry
processed_audio\tess_angry_OAF_wash_angry.wav,angry
processed_audio\tess_angry_OAF_week_angry.wav,angry
processed_audio\tess_angry_OAF_wheat_angry.wav,angry
processed_audio\tess_angry_OAF_when_angry.wav,angry
processed_audio\tess_angry_OAF_which_angry.wav,angry
processed_audio\tess_angry_OAF_whip_angry.wav,angry
processed_audio\tess_angry_OAF_white_angry.wav,angry
processed_audio\tess_angry_OAF_wife_angry.wav,angry
processed_audio\tess_angry_OAF_wire_angry.wav,angry
processed_audio\tess_angry_OAF_witch_angry.wav,angry
processed_audio\tess_angry_OAF_yearn_angry.wav,angry
processed_audio\tess_angry_OAF_yes_angry.wav,angry
processed_audio\tess_angry_OAF_young_angry.wav,angry
processed_audio\tess_angry_OAF_youth_angry.wav,angry
processed_audio\tess_disgust_OAF_back_disgust.wav,disgust
processed_audio\tess_disgust_OAF_bar_disgust.wav,disgust
processed_audio\tess_disgust_OAF_base_disgust.wav,disgust
processed_audio\tess_disgust_OAF_bath_disgust.wav,disgust
processed_audio\tess_disgust_OAF_bean_disgust.wav,disgust
processed_audio\tess_disgust_OAF_beg_disgust.wav,disgust
processed_audio\tess_disgust_OAF_bite_disgust.wav,disgust
processed_audio\tess_disgust_OAF_boat_disgust.wav,disgust
